title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,source_url
"FRA Branch 240 - Tx, Waco",fra-branch-240-tx,local,Branch 240,fra,FRA,world-war-1,World War I,TX,texas,McLennan County,mclennan-county,tx_48309,,,,31.5575916,-97.1289922,true,,,,,,,,,240,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=240
FRA Branch 252 - Thomas E Creek,fra-branch-252-tx,local,Branch 252,fra,FRA,world-war-1,World War I,TX,texas,Randall County,randall-county,tx_48381,PO Box 7922,Amarillo,79114,35.1556398,-101.8839199,true,,,,,,,,,252,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=252
FRA Branch 295 - San Angelo,fra-branch-295-tx,local,Branch 295,fra,FRA,world-war-1,World War I,TX,texas,Tom Green County,tom-green-county,tx_48451,3002 Canyon Creek Dr,San Angelo,76904,31.4170461,-100.4865328,true,,,,,,,,,295,"0940, 3rd Sat.","San Angelo Elks Lodge #1880, 2121 South Chadbourne St., San Angelo, TX",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=295
FRA Branch 303 - Texoma,fra-branch-303-tx,local,Branch 303,fra,FRA,world-war-1,World War I,TX,texas,Grayson County,grayson-county,tx_48181,PO Box 2714,Sherman,75091,33.6600293,-96.5945875,true,,,,,,,,,303,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=303
"FRA Branch 331 - Tx, El Paso",fra-branch-331-tx,local,Branch 331,fra,FRA,world-war-1,World War I,TX,texas,El Paso County,el-paso-county,tx_48141,,,,31.7618778,-106.4850217,true,,,,,,,,,331,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=331
FRA Branch 375 - Arl Tex,fra-branch-375-tx,local,Branch 375,fra,FRA,world-war-1,World War I,TX,texas,Tarrant County,tarrant-county,tx_48439,2113 Cottie Ln,Arlington,76010,32.7168,-97.0730115,true,,,,,,,,,375,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=375
FRA Branch 185 - Golden Spike Ogden Branch 185,fra-branch-185-ut,local,Branch 185,fra,FRA,world-war-1,World War I,UT,utah,Weber County,weber-county,ut_49057,2653 N 950,E North Ogden,84414,41.307524,-111.9506243,true,,,https://www.facebook.com/frabranchandunit185/,,,,,,185,"1730, 1st Wed.","VFW Post 1481, 907 W. 12th Street, Ogden, UT",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=185
FRA Branch 5 - Norfolk,fra-branch-5-va,local,Branch 5,fra,FRA,world-war-1,World War I,VA,virginia,Norfolk City,norfolk-city,va_51710,4912 Cape Henry Ave,Norfolk,23513,36.8725532,-76.2290144,true,,,http://www.frabranch5.org/,,,,,,5,"1000, 4th Tues.","Providence Square Grill, 941 Providence Sq., Virginia Beach, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=005
"FRA Branch 37 - Portsmouth,Va",fra-branch-37-va,local,Branch 37,fra,FRA,world-war-1,World War I,VA,virginia,Portsmouth City,portsmouth-city,va_51740,1024 Blair St,Portsmouth,23704,36.8398915,-76.3106718,true,,,,,,,,,37,Contact Shipmate Cobb,Contact Joseph E. Cobb (757) 641-7517,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=037
FRA Branch 40 - Chesapeake,fra-branch-40-va,local,Branch 40,fra,FRA,world-war-1,World War I,VA,virginia,Chesapeake City,chesapeake-city,va_51550,PO Box 6190,Chesapeake,23323,36.74135,-76.3457098,true,,,https://frabr40.org/,,,,,,40,"1900, 3rd Tues.","1400 George Washington Highway N, Chesapeake, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=040
FRA Branch 41 - Roanoke Valley,fra-branch-41-va,local,Branch 41,fra,FRA,world-war-1,World War I,VA,virginia,Bedford County,bedford-county,va_51019,1526 Virginia Ridge Dr,Hardy,24101,37.2294716,-79.8168916,true,,,,,,,,,41,"1830, 3rd Wed.","Vinton Library, 300 S. Pollard St, Vinton, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=041
FRA Branch 60 - Ocean View,fra-branch-60-va,local,Branch 60,fra,FRA,world-war-1,World War I,VA,virginia,Norfolk City,norfolk-city,va_51710,9328 Sturgis St,Norfolk,23503,36.9371505,-76.2366053,true,,,https://www.facebook.com/branch60/,,,,,,60,"1830, 2nd Wed.","Contact Sullinger, Janet 228-326-5391",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=060
FRA Branch 99 - Kempsville,fra-branch-99-va,local,Branch 99,fra,FRA,world-war-1,World War I,VA,virginia,Virginia Beach City,virginia-beach-city,va_51810,357 EDWIN,DRIVE Virginia Beach,23462,36.8281624,-76.1295403,true,,,https://fra99.org/,,,,,,99,"1900, 2nd Wed.","Branch Home, 357 Edwin Dr., Virginia Beach, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=099
FRA Branch 131 - Dahlgen,fra-branch-131-va,local,Branch 131,fra,FRA,world-war-1,World War I,VA,virginia,King George County,king-george-county,va_51099,13394 Harryberry Ln,King George,22485,38.355736,-77.109495,true,,,,,,,,,131,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=131
FRA Branch 166 - Virginia Beach,fra-branch-166-va,local,Branch 166,fra,FRA,world-war-1,World War I,VA,virginia,Chesapeake City,chesapeake-city,va_51550,3204,Troy Lane Chesapeake,23323,36.7552751,-76.3549542,true,,,,,,,,,166,"1900, 3rd Mon.","VFW #392, 2408 Bowland Pkwy, Virginia Beach, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=166
FRA Branch 172 - Peninsula,fra-branch-172-va,local,Branch 172,fra,FRA,world-war-1,World War I,VA,virginia,York County,york-county,va_51199,400 Old York Hampton Hwy,Yorktown,23692,37.1816154,-76.4798275,true,,,https://frabranch172.org/,,,,,,172,"1800, 2nd Mon.","Branch Home, 400 Old York-Hampton Hwy., Yorktown, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=172
FRA Branch 181 - Alexandria,fra-branch-181-va,local,Branch 181,fra,FRA,world-war-1,World War I,VA,virginia,Alexandria City,alexandria-city,va_51510,PO Box 23573,Alexandria,22304,38.804693,-77.0435257,true,,,https://www.frabranch181.org/,,,,,,181,"1800, 1st Thur.","1600 Duke Street. Suite 300, Alexandria VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=181
"FRA Branch 205 - Va,Charlottesville",fra-branch-205-va,local,Branch 205,fra,FRA,world-war-1,World War I,VA,virginia,Albemarle County,albemarle-county,va_51003,PO Box 724,Crozet,22932,38.0695815,-78.700575,true,,,,,,,,,205,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=205
FRA Branch 207 - Potomac Region,fra-branch-207-va,local,Branch 207,fra,FRA,world-war-1,World War I,VA,virginia,Stafford County,stafford-county,va_51179,1 Knollside Ct,Stafford,22554,38.4642595,-77.4445721,true,,,http://www.frabranch207.org/WP/,,,,,,207,"1000, 1st Sat.","Denny's, 532 Jefferson Davis Hwy., Fredericksburg, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=207
FRA Branch 219 - John Chapell,fra-branch-219-va,local,Branch 219,fra,FRA,world-war-1,World War I,VA,virginia,Amelia County,amelia-county,va_51007,11221 Pridesville Rd,Amelia Court House,23002,37.3760088,-77.9955965,true,,,,,,,,,219,"1400, 3rd Thur.","Steel Horse Harley-Davidson, 11501 Hull Street Rd., Midlothian, VA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=219
"FRA Branch 257 - Portsmouth,Va",fra-branch-257-va,local,Branch 257,fra,FRA,world-war-1,World War I,VA,virginia,Chesapeake City,chesapeake-city,va_51550,908 Sir Lancelot Dr,Chesapeake,23323,36.7787148,-76.357493,true,,,,,,,,,257,"1400, 4th Sat.",Contact Secretary (757) 403-1299,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=257
FRA Branch 235 - Green Mountain,fra-branch-235-vt,local,Branch 235,fra,FRA,world-war-1,World War I,VT,vermont,Windsor County,windsor-county,vt_50027,PO Box 55,Gaysville,05746,43.7778232,-72.6999688,true,,,,,,,,,235,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=235
FRA Branch 18 - Seattle,fra-branch-18-wa,local,Branch 18,fra,FRA,world-war-1,World War I,WA,washington,Snohomish County,snohomish-county,wa_53061,P.O. Box 146,Mountlake Terrace,98043,47.7933719,-122.302732,true,,,https://www.frabranch18.org/,,,,,,18,"1300, 2nd Sat. Lunch at 1200.","Branch Home, 23003 - 56th Ave. West, Mountlake Terrace, WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=018
FRA Branch 29 - Bremerton,fra-branch-29-wa,local,Branch 29,fra,FRA,world-war-1,World War I,WA,washington,Kitsap County,kitsap-county,wa_53035,521 S National Ave,Bremerton,98312,47.5571433,-122.6683215,true,,,https://frabranch29.com/,,,,,,29,"1700, 2nd Tues.","FRA Branch 29, 521 S National Ave. Bremerton, WA 98312",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=029
FRA Branch 38 - Inland Empire,fra-branch-38-wa,local,Branch 38,fra,FRA,world-war-1,World War I,WA,washington,Spokane County,spokane-county,wa_53063,3608 N. Atlantic St.,Spokane,99205,47.691087,-117.4122862,true,,,http://www.frabranch38.org/,,,,,,38,"David Lord (360)631-2873Meeting time & date: 1000, 3rd Sat.",Contact: David Lord (360)631-2873,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=038
FRA Branch 63 - Lewis Clark Valley,fra-branch-63-wa,local,Branch 63,fra,FRA,world-war-1,World War I,WA,washington,Asotin County,asotin-county,wa_53003,829 15th St,Clarkston,99403,46.4134172,-117.0686634,true,,,,,,,,,63,"1900, 1st Mon.","Clarkston VFW Asotin County Vet Ctr., 829 15th St, Clarkston WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=063
FRA Branch 97 - Whidbey Island,fra-branch-97-wa,local,Branch 97,fra,FRA,world-war-1,World War I,WA,washington,Island County,island-county,wa_53029,311 SE 8th Ave,Oak Harbor,98277,48.29107570000001,-122.6540163,true,,,https://www.facebook.com/frabr97/,,,,,,97,"1800, 3rd Thur.","Branch Home, 311 SE 8th Ave, Oak Harbor, WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=097
FRA Branch 104 - Mt Rainier,fra-branch-104-wa,local,Branch 104,fra,FRA,world-war-1,World War I,WA,washington,Pierce County,pierce-county,wa_53053,818 23rd St.,NW Puyallup,98371,47.1987499,-122.3257721,true,,,https://www.fra104puyallup.org,,,,,,104,"1900, 2nd Mon.","AmLeg Post #67, 309 - 14th St., S.E., Puyallup, WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=104
"FRA Branch 107 - Wa, Astoria",fra-branch-107-wa,local,Branch 107,fra,FRA,world-war-1,World War I,WA,washington,Chelan County,chelan-county,wa_53007,,,,47.7510741,-120.7401386,true,,,,,,,,,107,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=107
"FRA Branch 143 - Wa, Seattle",fra-branch-143-wa,local,Branch 143,fra,FRA,world-war-1,World War I,WA,washington,King County,king-county,wa_53033,,,,47.6061389,-122.3328481,true,,,,,,,,,143,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=143
FRA Branch 170 - Everett,fra-branch-170-wa,local,Branch 170,fra,FRA,world-war-1,World War I,WA,washington,Snohomish County,snohomish-county,wa_53061,6802 Beverly Blvd,Everett,98203,47.9359712,-122.2112874,true,,,,,,,,,170,"1730, 2nd Wed.","FRA CLUB 170, 6802 Beverly Blvd., Everett, WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=170
FRA Branch 174 - Dungeness,fra-branch-174-wa,local,Branch 174,fra,FRA,world-war-1,World War I,WA,washington,Clallam County,clallam-county,wa_53009,P.O Box 632,Carlsborg,98324,48.08876249999999,-123.172637,true,,,,,,,,,174,"1100, 1st Sat.","609 W. Washington St. Sequim, WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=174
FRA Branch 191 - Capitol Olympia,fra-branch-191-wa,local,Branch 191,fra,FRA,world-war-1,World War I,WA,washington,Thurston County,thurston-county,wa_53067,PO Box 422,Olympia,98507,47.04,-122.89,true,,,,,,,,,191,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=191
FRA Branch 245 - Bellingham,fra-branch-245-wa,local,Branch 245,fra,FRA,world-war-1,World War I,WA,washington,Whatcom County,whatcom-county,wa_53073,5443 Mosquito Lake Rd,Deming,98244,48.8364207,-122.1427882,true,,,http://www.frabr245.org/,,,,,,245,"1100, 3rd Tues.",Contact Secretary Theodore Olson (360) 592-2337,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=245
FRA Branch 310 - Silverdale,fra-branch-310-wa,local,Branch 310,fra,FRA,world-war-1,World War I,WA,washington,Kitsap County,kitsap-county,wa_53035,10186 Merlin Ln,NW Bremerton,98312,47.63271599999999,-122.786719,true,,,,,,,,,310,"1830, 1st Thurs.","FRA Branch 310 Home, 11281 Old Frontier Rd., NW, Silverdale, WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=310
FRA Branch 333 - Lewis County,fra-branch-333-wa,local,Branch 333,fra,FRA,world-war-1,World War I,WA,washington,Lewis County,lewis-county,wa_53041,PO Box 337,Centralia,98531,46.7162136,-122.9542972,true,,,,,,,,,333,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=333
"FRA Branch 354 - Wa, Port Angeles",fra-branch-354-wa,local,Branch 354,fra,FRA,world-war-1,World War I,WA,washington,Clallam County,clallam-county,wa_53009,,,,48.118146,-123.4307413,true,,,,,,,,,354,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=354
FRA Branch 363 - Lower Columbia,fra-branch-363-wa,local,Branch 363,fra,FRA,world-war-1,World War I,WA,washington,Cowlitz County,cowlitz-county,wa_53015,PO Box 212,Longview,98632,46.1381676,-122.9381672,true,,,,,,,,,363,"1930, 2nd Fri.","VFW Post 1045, 4311 Ocean Beach Hwy, Longview, WA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=363
FRA Branch 14 - Milwaukee,fra-branch-14-wi,local,Branch 14,fra,FRA,world-war-1,World War I,WI,wisconsin,Milwaukee County,milwaukee-county,wi_55079,6111 W Nebraska Ave Apt 202,Milwaukee,53220,42.97658190000001,-87.9900125,true,,,,,,,,,14,"0930, last Sat.","Brass Key Restaurant, 4952 W. Forest Home Ave., Milwaukee, WI",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=014
FRA Branch 180 - Packerland,fra-branch-180-wi,local,Branch 180,fra,FRA,world-war-1,World War I,WI,wisconsin,Brown County,brown-county,wi_55009,1312 Weise St,Green Bay,54302,44.5220442,-87.9869015,true,,,,,,,,,180,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=180
FRA Branch 238 - Central Wisconsin,fra-branch-238-wi,local,Branch 238,fra,FRA,world-war-1,World War I,WI,wisconsin,Portage County,portage-county,wi_55097,2917 Merryland Rd,Rosholt,54473,44.613514,-89.4063145,true,,,https://www.fra238.com/,,,,,,238,"1300, 2nd Sat.","Plover Municipal Bldg., 2400 Post Rd., Plover, WI",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=238
FRA Branch 376 - Madison,fra-branch-376-wi,local,Branch 376,fra,FRA,world-war-1,World War I,WI,wisconsin,Sauk County,sauk-county,wi_55111,S7559 US Highway 12 Lot N-13,North Freedom,53951,43.3676248,-89.7734249,true,,,,,,,,,376,7:30 4th Tues. (APR TO NOV),"Trinity Baptist Church, 110 Henry Dr., Portage, WI 53901",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=376
FRA Branch 33 - Mountain State,fra-branch-33-wv,local,Branch 33,fra,FRA,world-war-1,World War I,WV,west-virginia,Marion County,marion-county,wv_54049,PO Box 2159,Fairmont,26555,39.4799999,-80.14,true,,,,,,,,,33,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=033
"FRA Branch 262 - Wv, Charleston",fra-branch-262-wv,local,Branch 262,fra,FRA,world-war-1,World War I,WV,west-virginia,Kanawha County,kanawha-county,wv_54039,,,,38.3498195,-81.6326234,true,,,,,,,,,262,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=262
FRA Branch 59 - Cheyenne,fra-branch-59-wy,local,Branch 59,fra,FRA,world-war-1,World War I,WY,wyoming,Laramie County,laramie-county,wy_56021,FRA Branch 59 PO Box 20723,Cheyenne,82003,41.1347435,-104.8211901,true,,,,,,,,,59,"1830, 1st Thur.","VFW Post 1881, 2816 E. 7th St., Cheyenne, WY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=059
